id,question,answers,ans
1,"Quante flessioni riesce a fare Chuck Norris?","Cento$Mille$Diecimila$Tutte",4
2,"Cosa succede quando Chuck Norris taglia una cipolla?","La cipolla piange$Chuck Norris piange$Il coltello si rompe$Nasce un albero di cipolle",1
3,"Quante volte Chuck Norris ha contato fino all'infinito?","Mai$Una volta$Due volte$Innumerevoli volte",3
4,"Perché Chuck Norris non porta l'orologio?","Non gli piace$È allergico al metallo$Decide lui che ore sono$Non sa leggere le ore",3
5,"Cosa successe quando Alexander Bell inventò il telefono?","Chiamò sua moglie$Aveva già tre chiamate perse da Chuck Norris$Il telefono esplose$Chuck Norris rispose prima che suonasse",2
6,"Cosa si trova sotto la barba di Chuck Norris?","Un'altra barba$La pelle$Un terzo pugno$Un coltello da caccia",3
7,"Cosa usa Chuck Norris come collirio?","Acqua distillata$Camomilla$Tabasco$Acido solforico",3
8,"Quando Chuck Norris fa il bagno nel fiume...","Si bagna tutto$L'acqua esce dal letto del fiume$Non si bagna lui, si Chuck Norris l'acqua$Il fiume cambia direzione",3
9,"Cosa fa Chuck Norris per accendere il fuoco nel bosco?","Usa un fiammifero antivento$Cerca della legna secca$Strofina due cubetti di ghiaccio$Lo accende con la forza del pensiero",3
10,"Perché Chuck Norris non dorme mai?","Soffre d'insonnia acuta$Beve troppo caffè$Chuck Norris non dorme, aspetta$Non ha un letto comodo",3
11,"Chi ha costruito l'ospedale in cui è nato Chuck Norris?","Il governo americano$Un'impresa edile texana$Chuck Norris stesso$Nessuno, è nato nella giungla",3
12,"Qual è il gruppo sanguigno di Chuck Norris?","0 Positivo$AK-47$AB Negativo$Non ha sangue, ha magma",2
13,"Cosa è successo quando Chuck Norris è stato morso da un serpente estremamente velenoso?","È andato in ospedale d'urgenza$Ha bevuto immediatamente l'antidoto$Dopo 5 giorni di dolori atroci, il serpente è morto$Non gli ha fatto nessun effetto",3
14,"Come cerca informazioni Chuck Norris su Internet?","Usa Google$Non usa Internet, fissa il monitor finché il PC non confessa tutto$Va su Wikipedia$Chiede a Siri",2
15,"Cosa succede se Chuck Norris fissa il sole in una giornata estiva?","Diventa cieco$Mette gli occhiali da sole$Il sole abbassa lo sguardo per l'imbarazzo$Il sole si spegne",3
16,"Cosa fa il buio la sera prima di andare a dormire?","Spegne la luce$Diventa ancora più scuro$Controlla sotto il letto che non ci sia Chuck Norris$Si mette il pigiama",3
17,"Perché i dinosauri si sono estinti?","Per un meteorite caduto sulla Terra$A causa della violenta era glaciale$Perché hanno guardato storto Chuck Norris$Per mancanza di cibo adeguato",3
18,"Quanto ci mette Chuck Norris a fare il giro del mondo a piedi?","80 giorni esatti$Un mese scarso$Non si muove, corre sul posto e fa girare il mondo sotto di sé$24 ore senza sudare",3
19,"Qual è l'unico numero in grado di battere Chuck Norris?","Lo zero assoluto$L'infinito matematico$Il Pi Greco$Nessun numero, Chuck Norris li batte tutti",4
20,"Come spegne la luce della sua camera Chuck Norris?","Usa l'interruttore come tutti$Batte le mani due volte$Urla contro la lampadina$Spegne l'interruttore ed è già sotto le coperte prima che la stanza diventi buia",4
21,"Quanti alieni ci sono nello spazio profondo?","Nessuno, si nascondono tutti da Chuck Norris$Milioni di specie diverse$Si trovano solo su Marte$Un numero infinito",1
22,"Cosa fa solitamente Chuck Norris quando si trova in un campo minato?","Usa il metal detector in dotazione$Cammina con molta cautela$Balla allegramente il tip tap$Salta le mine da fermo",3
23,"Qual è il vero motivo per cui l'universo è in continua espansione?","Per l'energia scatenata dal Big Bang$Per via della forza di gravità$Perché sta cercando disperatamente di scappare da Chuck Norris$È solo un'illusione ottica spaziale",3
24,"Cosa succede se lanci una granata innescata contro Chuck Norris?","Lui si ripara velocemente$Chuck Norris scappa via$Chuck Norris le toglie la sicura e te la rilancia$La granata innescata implora pietà",3
25,"Cosa fece Chuck Norris in sala parto, non appena venne al mondo?","Pianse a squarciagola$Si addormentò placidamente$Diede un calcio rotante al dottore per farlo piangere$Disse la sua prima parola completa",3
